구 분류,정류장이름,정류장번호(정류장이름 끝 5자리 추출함),가격 (1개월),부가세 포함 여부,제작비 포함 여부,지원 포맷,운영 시간,야간 조명 효과,가격의 기준,혼잡도(덕플레이스에서 제공하는 예약 첨고용 데이터라고 함. 광고 예약이 얼마나 몰리는지에 대한 지표)
서초구,LH서초아파트 [22607],22607,"279,300원",O,O,"ai,psd",24시간 노출,O,단면(1면),원활
서초구,서초힐스아파트 [22286],22286,"279,300원",O,O,"ai,psd",24시간 노출,O,단면(1면),매우혼잡
서초구,구룡사 [22304],22304,"411,600원",O,O,"ai,psd",24시간 노출,O,양면(2면),매우혼잡
서초구,도로교통공단서울지부.코트라 [22378],22378,"411,600원",O,O,"ai,psd",24시간 노출,O,양면(2면),매우혼잡
서초구,방배그랑자이아파트 [22261],22261,"617,400원",O,O,"ai,psd",24시간 노출,O,단면(1면),보통
서초구,현대빌라.에코맘코리아 [22273],22273,"617,400원",O,O,"ai,psd",24시간 노출,O,단면(1면),원활
서초구,네이처힐5단지 [22424],22424,"759,990원",O,O,"ai,psd",24시간 노출,O,양면(2면),보통
서초구,네이처힐3.4단지 [22283],22283,"759,990원",O,O,"ai,psd",24시간 노출,O,양면(2면),보통
서초구,잠원성당 [22206],22206,"940,800원",O,O,"ai,psd",24시간 노출,O,단면(1면),매우혼잡
서초구,방배동래미안아트힐.국립국악원 [22253],22253,"940,800원",O,O,"ai,psd",24시간 노출,O,단면(1면),원활
서초구,서울교대정문앞 [22107],22107,"1,099,560원",O,O,"ai,psd",24시간 노출,X,양면(2면),보통
서초구,도곡교회.인바디빌딩 [23468],23468,"1,156,400원",O,O,"ai,psd",24시간 노출,O,양면(2면),원활
서초구,강남역 [22173],22173,"1,617,000원",O,X,"mp4,mov,wmv",04:00~03:00 ,(언급없음. 영상이니 당연히 조명이 기본일듯),(언급없음),매우혼잡
서초구,개포고등학교앞 [23335],23335,"1,803,200원",O,O,"ai,psd",24시간 노출,O,양면(2면),원활
