자치구,정류장수,평균가,최저가,최고가
서초구,264,1830655,279300,4390400
송파구,205,1314242,279300,4390400
강남구,174,2727869,279300,4410000
강동구,156,1085036,279300,4390400
강서구,149,1106690,279300,2234400
양천구,145,996674,279300,4390400
은평구,138,628137,279300,1803200
중랑구,134,808822,245000,2005080
동대문구,128,1257141,279300,2005080
노원구,110,685194,279300,2005080
관악구,97,1422091,279300,4390400
용산구,94,1303317,279300,3665200
마포구,91,1117146,245000,4390400
동작구,67,1671500,279300,4390400
성북구,67,1200324,279300,4390400
강북구,66,683899,279300,1803200
구로구,62,1062533,279300,2156000
광진구,61,1237354,245000,4390400
종로구,60,1938203,411600,4390400
성동구,57,1255165,411600,4400200
영등포구,55,1249945,279300,4390400
중구,53,1646261,279300,4390400
서대문구,48,1231880,279300,3498600
금천구,44,651199,279300,1803200
도봉구,34,964291,279300,2005080
