,mean_abs_shap_log
거리_강남_km,0.15987125
최근접지하철_거리_m,0.08472285
승하차_일평균,0.07510764
거리_도심최근접_km,0.06783824
POI_음식_300m,0.04541825
POI_total_300m,0.042939547
POI_total_100m,0.038091548
POI_보건의료_300m,0.037069354
공시지가_원per㎡,0.037031513
POI_total_500m,0.031816345
최근접역_승하차_일평균,0.028036034
POI_소매_300m,0.025736164
거리_시청_km,0.02366895
거리_여의도_km,0.022012655
교차로수_300m,0.02036127
간선도로거리_m,0.019043092
가로망연장_500m,0.018881999
교차로수_500m,0.01844676
POI_수리·개인_300m,0.018370705
간선도로연장_300m,0.017906116
간선도로연장_500m,0.015991963
POI_교육_300m,0.0139088705
가로망연장_300m,0.012969721
POI_부동산_300m,0.012599041
POI_예술·스포츠_300m,0.011702612
경유노선수,0.011637352
POI_시설관리·임대_300m,0.010925111
POI_과학·기술_300m,0.0108478395
POI_숙박_300m,0.007862816
flag_역승하차결측,0.00028009975
flag_버스결측,6.4444043e-06
flag_공시지가결측,5.7789543e-06
